Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Kreuter, Frauke",Universität Mannheim,Adjunct Research Assistant Professor,Academic Experience,2005-2013 ,"University of Michigan, Ann Arbor",Institute for Social Research,"University of Michigan, Ann Arbor",9913
"Kreuter, Frauke",Universität Mannheim,Visiting Researcher,Other Professional Experience,2003,"University of
Michigan, Ann Arbor","Survey Research Center, Institute for Social Research,","University of Michigan, Ann Arbor",9913
"Lerman, Kristina",USC University of Southern California,Systems Programmer,,1996/01 - 1998/05,"Quarterdeck Office Systems, Marina del Rey",n,n,n
"Lerman, Kristina",USC University of Southern California,Computer Scientist,,1998/06 - 2003/06,"USC Information Sciences Institute, Marina del Rey,",n,n,n
"Lerman, Kristina",USC University of Southern California,Project Leader,,2003/07 -,"USC Information Sciences Institute, Marina del Rey,",n,n,n
"Lerman, Kristina",USC University of Southern California,Assistant Research Professor,,2004/03 - ,University of Southern California,Computer Science Department,n,n
"Lerman, Kristina",USC University of Southern California,Education,A.B.,1989/06,Princeton University,Physics Department,Princeton University (Princeton),2624
"Lerman, Kristina",USC University of Southern California,Research Assistant,,1990/01 - 1995/08,University of California at Santa Barbara,Physics Department,University of California Santa Barbara (Santa Barbara),11502
"Lerman, Kristina",USC University of Southern California,Education ,Ph.D.,1995/12,University of California at Santa Barbara,Physics Department,University of California Santa Barbara (Santa Barbara),11502
"Mutschke, Peter",xing,Studium ,"M.A. Geschichte, Politikwissenschaft, Philosophie",1980-1987,Universität Göttingen,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen (Göttingen),9292
"Mutschke, Peter",xing,Studium ,Gasthörer Informatik,1988-1989,Universität Göttingen,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen (Göttingen),9292
"Mutschke, Peter",linkedin,Kommissarischer Leiter,Wissenstechnologien für Sozialwissenschaften,2010/03-,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",Abt. Wissenstechnologien für Sozialwissenschaften (Köln),GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Wissenstechnologien für Sozialwissenschaften (Köln),69255
"Mutschke, Peter",xing,Wissenschaftlicher Mitarbeiter,n,1990/10-2010/02,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",,,69256
"Mutschke, Peter",linkedin,Deputy Head of Department,n,2009/11-2010/02,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",,,69256
"Nonnenmacher, Alexandra",Universität Siegen,Univ. Prof.,"Arbeitsschwerpunkte: Sozialwissenschaftliche Methoden und Methodologie, Stadtsoziologie ",n,Universität Siegen,Fakultät II Bildung-Architektur-Künste;  Lehrstuhl für Methoden der empirischen Bildungs- und Sozialforschung,"Fak. 02 Bildung, Architektur, Künste
Universität Siegen (Siegen)",70656
"Petras, Vivien",Berkely Student Homepage,Studium ,Magister,1995 - 2001,Humboldt-Universität Berlin,n,Humboldt-Universität Berlin (Berlin),12708
"Petras, Vivien",Berkely Student Homepage,Studium ,Vordiplom,1999-2001,Humboldt-Universität Berlin,n,Humboldt-Universität Berlin (Berlin),12708
"Petras, Vivien",linkedin,Assitant Professor,,2009/04-2010/9,Humboldt-Universität Berlin,Institut für Bibliotheks- und Informationswissenschaft,Institut für Bibliotheks- und Informationswissenschaft (Berlin),16367
"Petras, Vivien",linkedin,Professorin für Information Retrieval Institut für Bibliotheks- und Informationswissenschaft,,2012/10 - ,Humboldt-Universität Berlin,Institut für Bibliotheks- und Informationswissenschaft,Institut für Bibliotheks- und Informationswissenschaft (Berlin),16367
"Petras, Vivien",linkedin,Studium ,PhD,2001 - 2006,"University of California, Berkeley",n,University of California Berkeley (Berkeley),3269
"Quandt, Markus",ORCID,Employment,,,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",Data Archive for the Social Sciences,GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Datenarchiv für Sozialwissenschaften (Köln),69254
"Quandt, Markus",GESIS,,,2004-,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Datenarchiv für Sozialwissenschaften (Köln),GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Datenarchiv für Sozialwissenschaften (Köln),69254
"Quandt, Markus",GESIS,Studium,,1989-1996,Universität zu Köln,n,Universität zu Köln (Köln),3327
"Quandt, Markus",GESIS,,,1996-2004,Zentralarchiv für empirische Sozialforschung der Universität zu Köln,,Zentralarchiv für Empirische Sozialforschung (Köln),8315
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,wissenschaftliche Leiterin der Abteilung Survey Design and Methodology,n,2011,GESIS – Leibniz-Institut für Sozialwissenschaften,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,stellvertretende Präsidentin,n,2015,GESIS – Leibniz-Institut für Sozialwissenschaften,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,Studium Psychologie,n,n,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,Promotion,n,2000,Georg-August Universität Göttingen,n,Universität Göttingen,9292
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,Habilitation,n,2007,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,"Professorin für Psychologische Diagnostik, Umfragedesign und Methodik",n,2011,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,Studium Psychologie,n,n,Universität  Paris-Nanterre ,n,Université Paris X Nanterre (Nanterre),3251
"Rammstedt, Beatrice",http://www.gesis.org/institut/mitarbeiterverzeichnis/?alpha=R&name=beatrice%2Crammstedt,Studium Psychologie,n,n,Universität UC Berkeley,n,University of California Berkeley (Berkeley),3269
"Renner, Karl-Heinz",Universität der Bundeswehr München,Universitätsprofessor,"Leiter des Lehrgebiets Psychologische Methodenlehre, Diagnostik und Evaluation",2007/11-2013/08,FernUniversität Hagen,,Fernuniversität Hagen (Hagen),1098
"Renner, Karl-Heinz",Universität der Bundeswehr München,Studentische Hilfskraft,n,1988-1993,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Wissenschaftlicher Mitarbeiter,n,1994-1999,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Wissenschaftlicher Assistent,n,1999/11-2000/08,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Promotion,Dr.Phl.,2000/02,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Habilitation,Venia Legendi Psychologie,2006/07,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Akademischer Oberrat,n,2006/08-2007/10,Universität Bamberg,Lehrstuhl für Persönlichkeitspsychologie,Lehrstuhl Psychologie IV Persönlichkeitspsychologie (Bamberg),7430
"Renner, Karl-Heinz",Universität der Bundeswehr München,Studium,"Psychologie, Soziologie (Nebenfach)",1987-1993,Universität Bamberg,,Otto-Friedrich-Universität Bamberg (Bamberg),3295
"Renner, Karl-Heinz",Universität der Bundeswehr München,"Gastwissenschaftler DFG-Forschungsgruppe ""Neue Medien""",n,2003/09-2003/11,TU Chemnitz,,Technische Universität Chemnitz (Chemnitz),12792
"Renner, Karl-Heinz",Universität der Bundeswehr München,"Gastwissenschaftler DFG-Forschungsgruppe ""Neue Medien""",n,2004/11-2005/02,TU Chemnitz,,Technische Universität Chemnitz (Chemnitz),12792
"Renner, Karl-Heinz",Universität der Bundeswehr München,Professor,Differentielle und Diagnostische Psychologie,2013/09 -,Universität der Bundeswehr München,,Universität der Bundeswehr München (Neubiberg),3305
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Aufbaustudium,Aufbaustudium Informationswissenschaft,1988 - 1989, Universität Konstanz,Information Retrieval, Universität Konstanz,3332
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Mitarbeiter,n,1989 - 1994,Universität Konstanz,Lehrstuhl Informationswissenschaft, Universität Konstanz,3332
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Professur ,Professur für Informationsmanagement ,Seit 2005, DIPF,n,Deutsches Institut für Internationale Pädagogische Forschung (Frankfurt am Main),14314
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Direktor ,Direktor des Informationszentrum Bildung,Seit 2005,DIPF, Informationszentrum Bildung,Deutsches Institut für Internationale Pädagogische Forschung (Frankfurt am Main),14314
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Geschäftsführender Direktor,n,2008 - 2012,DIPF,n,Deutsches Institut für Internationale Pädagogische Forschung (Frankfurt am Main),14314
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Stellvertretender Geschäftsführender Direktor,n,Seit 2012,DIPF,n,Deutsches Institut für Internationale Pädagogische Forschung (Frankfurt am Main),14314
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Promotion,Promotion über Auswahl von Online-Datenbanken,1995,Universität Konstanz,Lehrstuhl Informationswissenschaft,"Fachbereich Informatik und Informationswissenschaft
Universität Konstanz (Konstanz)",727907
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Assistent ,n,1995 - 2001,Universität Konstanz,Lehrstuhl Informationswissenschaft,"Fachbereich Informatik und Informationswissenschaft
Universität Konstanz (Konstanz)",727907
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Professur ,Professur Filière Information documentaire,2002 - 2005,HEG Genève,n,Haute école de Genève -HEG- Haute école de travail social -HETS-,27768
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Professur ,Professur für Informationsmanagement ,Seit 2005,Hochschule Darmstadt,n,Hochschule Darmstadt,1058
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Lehrstuhlvertretung ,Lehrstuhlvertretung Informationswissenschaft ,2001 - 2002, Heinrich-Heine-Universität Düsseldorf,Informationswissenschaft ,"Institut für Sprache und Information Abt. für Informationswissenschaft
Philosophische Fakultät (Düsseldorf)
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",27015
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Studium,Studium der Physik,1981 - 1988, Universität Karlsruhe (TH),Theoretische Kernphysik,Karlsruher Institut für Technologie (Karlsruhe),70055
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Stellvertretender Sprecher,n,Seit 2015,Forschungsverbundes Science 2.0,n,n,n
"Rittberger, Marc",https://www.dipf.de/de/institut/personen/rittberger-marc,Leiter ,Leiter Steinbeis-Transferzentrum IMIE,2000 - 2002,Steinbeis-Transferzentrum IMIE,n,Steinbeis-Transferzentrum Angewandte Systemanalyse -STASA- (Stuttgart),26482
"Rosar, Ulrich",Universität Düsseldorf,Mitglied des Wissenschaftlichen Beirates ,Institutionelle Tätigkeiten,seit 2012/12,forsa – Gesellschaft für Sozialforschung und statistische Analyse mbH ,n,"""forsa"" - Gesellschaft für Sozialforschung und statistische Analysen mbH (Berlin)",1366
"Rosar, Ulrich",Universität Düsseldorf,Mitglied des Präsidiums ,Institutionelle Tätigkeiten,seit 2015/06,Deutsche Gesellschaft für Wahlforschung (DGfW) ,n,Deutsche Gesellschaft für Wahlforschung e.V. -DGfW- (Mannheim),69784
"Rosar, Ulrich",Universität Düsseldorf,Akademische Prüfungen,Promotion:Doctor rerum politicarum,2001/01,Otto-Friedrich-Universität Bamberg  ,Sozial- und Wirtschaftswissenschaftliche Fakultät ,"Fak. Sozial- und Wirtschaftswissenschaften – SoWi
Otto-Friedrich-Universität Bamberg (Bamberg)",3867
"Rosar, Ulrich",Universität Düsseldorf,Mitglied des ALLBUS-Beirats ,Institutionelle Tätigkeiten,seit 2015/06,GESIS ,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Köln),69256
"Rosar, Ulrich",Universität Düsseldorf,Universitätsprofessor für Soziologie (W3) ,n,Seit 2010/10,Heinrich-Heine-Universität Düsseldorf, Institut für Sozialwissenschaften ,"Institut für Sozialwissenschaften
Philosophische Fakultät (Düsseldorf)
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8129
"Rosar, Ulrich",Universität Düsseldorf,Mitglied und Vorsitz diverser Berufungskommissionen ,Institutionelle Tätigkeiten,seit 2007/05,n,n,n,n
"Rosar, Ulrich",Universität Düsseldorf,Sprecher des DVPW-Arbeitskreises Wahlen und politische Einstellungen ,Institutionelle Tätigkeiten,seit 2011/06,n,n,n,n
"Rosar, Ulrich",Universität Düsseldorf,Akademische Prüfungen,Studium: Magister Artium,1995/10,Heinrich-Heine-Universität Düsseldorf,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Studium,"Soziologie, der Politikwissenschaft und der Psychologie ",1990/10-1995/10,Heinrich-Heine-Universität Düsseldorf,Philosophischen Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Prodekan,n,2014/11 - 2015/02,Heinrich-Heine-Universität Düsseldorf,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Dekan ,n,Seit 2015/03,Heinrich-Heine-Universität Düsseldorf,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Mitglied des Habilitationsausschusses ,Institutionelle Tätigkeiten, 2010/11 -2014/09,Heinrich-Heine-Universität Düsseldorf ,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Vorsitz des Promotionsausschusses ,Institutionelle Tätigkeiten,2014/11-2015/02,Heinrich-Heine-Universität Düsseldorf ,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Vorsitz des Habilitationsausschusses ,Institutionelle Tätigkeiten,seit 2015/03,Heinrich-Heine-Universität Düsseldorf ,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Prodekan ,Institutionelle Tätigkeiten,2014/11-2015/02,Heinrich-Heine-Universität Düsseldorf ,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Dekan ,Institutionelle Tätigkeiten,seit 2015/03,Heinrich-Heine-Universität Düsseldorf ,Philosophische Fakultät ,"Philosophische Fakultät
Heinrich-Heine-Universität Düsseldorf (Düsseldorf)",8445
"Rosar, Ulrich",Universität Düsseldorf,Akademische Prüfungen,Habilitation :Venia legendi für Soziologie,2009/06,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät ,Universität zu Köln,3327
"Rosar, Ulrich",Universität Düsseldorf, Akademischer Leiter des Master-Studiengangs Soziologie und empirische Sozialforschung,n,2009/09-2010/09,Universität zu Köln ,n,Universität zu Köln,3327
"Rosar, Ulrich",Universität Düsseldorf,Wissenschaftlicher Mitarbeiter bzw. Wissenschaftlicher Assistent ,n,1995/11-2007/03,Universität zu Köln, Institut für Angewandte Sozialforschung und am Forschungsinstitut für Soziologie ,Universitäts- und Stadtbibliothek Köln – USB,727529
"Rosar, Ulrich",Universität Düsseldorf,Geschäftsführer ,n,2007/04-2010/09, Universität zu Köln ,Forschungsinstitut für Soziologie und des Seminar für Soziologie ,Universitäts- und Stadtbibliothek Köln – USB,727529
"Rosar, Ulrich",Universität Düsseldorf,Vertretung des Lehrstuhls Soziologie III (W3),n,2009/09 – 2010/03,Universität zu Köln ,Forschungsinstitut für Soziologie ,Universitäts- und Stadtbibliothek Köln – USB,727529
"Rosar, Ulrich",Universität Düsseldorf,Vertretung des Lehrstuhls Soziologie II (W3),n,2010/04 – 2010/09,Universität zu Köln ,Forschungsinstitut für Soziologie ,Universitäts- und Stadtbibliothek Köln – USB,727529
"Schmitt-Beck, Rüdiger",Universität Mannheim,Professor,Professor für Politikwissenschaften mit dem Schwerpunkt Politik und Kommunikation Universität Duisburg-Essen,2003-2008,Universität Duisburg-Essen,Institut für Politikwissenschaft,Institut für Politikwissenschaft (Duisburg),8685
"Schmitt-Beck, Rüdiger",Universität Mannheim,Professor ,"Lehrstuhl für Politische Wissenschaft I - Politische Soziologie, Universität Mannheim",2008-,Universität Mannheim,Lehrstuhl für Politische Wissenschaft I Politische Soziologie,Lehrstuhl für Politische Wissenschaft I Politische Soziologie (Mannheim),7454
"Schmitt-Beck, Rüdiger",Universität Mannheim,Wissenschaftlicher Mitarbeiter,n,1990-1995,Mannheimer Zentrum für Europäische Sozialforschung (MZES),,Mannheimer Zentrum für Europäische Sozialforschung -MZES- (Mannheim),10378
"Schmitt-Beck, Rüdiger",Universität Mannheim,Visiting Fellow,n,WS 2007/2008,"University of Auckland, Neuseeland",,n,n
"Schmitt-Beck, Rüdiger",Universität Mannheim,Visiting Fellow,n,WS 2015/2016,"Australian National University, Canberra/Australien",,The Australian National University Canberra (Canberra),10026
"Schmitt-Beck, Rüdiger",Universität Mannheim,Wissenschaftlicher Assistent,n,1988-1990,Universität Heidelberg,,Universität Heidelberg (Heidelberg),3324
"Schmitt-Beck, Rüdiger",Universität Mannheim,Studium,"Diplom Soziologie, Psychologie, Politikwissenschaft",1975-1981,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Schmitt-Beck, Rüdiger",Universität Mannheim,Wissenschaftlicher Mitarbeiter,n,1983-1988,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Schmitt-Beck, Rüdiger",Universität Mannheim,Promotion,Dr.,1989,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Schmitt-Beck, Rüdiger",Universität Mannheim,Wissenschaftlicher Assistent,n,1995-2000,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Schmitt-Beck, Rüdiger",Universität Mannheim,Habilitation,n,1999,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Schmitt-Beck, Rüdiger",Universität Mannheim,Gastprofessor,n,SS 2002,Universität Zürich,,Universität Zürich (Zürich),3354
"Schmitt-Beck, Rüdiger",Universität Mannheim,Visiting Research Scholar,n,SS 2016,"University of British Columbia, Vancouver/Kanada",,University of British Columbia Vancouver (Vancouver),3268
"Schmitt-Beck, Rüdiger",Universität Mannheim,Wissenschaftlicher Leiter,n,2000-2003,"Zentrum für Umfragen, Methoden und Analysen (ZUMA), Mannheim",,"Zentrum für Umfragen, Methoden und Analysen (Mannheim)",3593
"Stocké, Volker",https://www.uni-kassel.de/fb05/uploads/media/Stock%C3%A9_Lebenslauf_deutsch.pdf,Studium,n,"1987-1994",Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Stocké, Volker",https://www.uni-kassel.de/fb05/uploads/media/Stock%C3%A9_Lebenslauf_deutsch.pdf,Studium,Diplom,1994,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Stocké, Volker",https://www.uni-kassel.de/fb05/uploads/media/Stock%C3%A9_Lebenslauf_deutsch.pdf,Promotion,Dr. phil.,2001,Universität Mannheim,Fakultät für Sozialwissenschaf,Universität Mannheim (Mannheim),3337
"Stocké, Volker",https://www.uni-kassel.de/fb05/uploads/media/Stock%C3%A9_Lebenslauf_deutsch.pdf,Habilitation,Venia Legendi im Fach Soziologie,Mai 2009,Universität Mannheim,Fakultät für Sozialwissenschaf,Universität Mannheim (Mannheim),3337
"Stocké, Volker",https://www.uni-kassel.de/fb05/uploads/media/Stock%C3%A9_Lebenslauf_deutsch.pdf,ICPSR Summer School in Quantitative Methods of Social Research,n,1996," University of Michigan,
Ann Arbor (USA)",n,University of Michigan (Ann Arbor),9913
"Strohmaier, Markus",Homepage markusstrohmaier.info,Professor,n,2013/05 -,Universität Koblenz-Landau,Lehrstuhl Informatik,FB 04 Informatik (Koblenz),12172
"Strohmaier, Markus",Homepage markusstrohmaier.info,Scientific Director,n,2013/05 - 2017/05,"GESIS Leibniz Institut für Sozialwissenschaften eV: Mannheim, Baden-Württemberg, Germany",,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Strohmaier, Markus",Homepage markusstrohmaier.info,Visiting Scientist/Professor,n,"2009,2010-2011",XEROX Parc,,n,n
"Strohmaier, Markus",Homepage markusstrohmaier.info,Visiting Scientist/Professor,n,2009,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Strohmaier, Markus",GESIS,,n,2017/06,RWTH Aachen,,Rheinisch-Westfälische Technische Hochschule Aachen (Aachen),3189
"Strohmaier, Markus",Homepage markusstrohmaier.info,Visiting Scientist/Professor,n,WS 2011/12,Stanford University,,Stanford University (Stanford),10388
"Strohmaier, Markus",Homepage markusstrohmaier.info,Studium,Ph.D.,2004,Technische Universität Graz,,Technische Universität Graz (Graz),3194
"Strohmaier, Markus",Homepage markusstrohmaier.info,Habilitation,Emergent properties of social-computational systems,2012,Technische Universität Graz,,Technische Universität Graz (Graz),3194
"Strohmaier, Markus",Homepage markusstrohmaier.info,Postdoctoral Fellow,Department of Computer Science,2006-2007,Universität Toronto,,University of Toronto (Toronto),3286
"Weins, Cornelia",Ruhr-Universität Bochum,Professorin,Methodenlehre,?,Universität Trier,Professur für Empirische Sozialforschung und Methodenlehre,Fach Soziologie Professur für Empirische Sozialforschung und Methodenlehre (Trier),327
"Weins, Cornelia",Ruhr-Universität Bochum,Professorin,Lehrstuhl Empirische Sozialforschung,? - ,Ruhr-Universität Bochum,Lehrstuhl für Empirische Sozialforschung,Sektion Sozialwissenschaftliche Methoden und Statistik Lehrstuhl für Empirische Sozialforschung (Bochum),28096
"Wolf, Christoph",ORCID,Education,Dr. rer. pol.,1996,"Universität zu Köln: Koln, Nordrhein-Westfalen, Germany",Forschungsinstitut für Soziologie,Forschungsinstitut für Soziologie (Köln),4711
"Wolf, Christoph",ORCID,Employment,,2004/11-,"GESIS Leibniz Institut für Sozialwissenschaften eV: Mannheim, Baden-Württemberg, Germany",,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Wolf, Christoph",GESIS,Abteilungsleiter,,2004-2015,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Dauerbeobachtung der Gesellschaft (Mannheim),GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Dauerbeobachtung der Gesellschaft (Mannheim),69258
"Wolf, Christoph",ORCID,Education,Diplom Soziologe,1983/4-1988/7,"Universität Hamburg: Hamburg, Hamburg, Germany",Institut für Soziologie,Institut für Soziologie (Hamburg),9199
"Wolf, Christoph",GESIS,Professor für Soziologie,,2009-,Universität Mannheim,Professur für Methoden der empirischen Sozialforschung (Mannheim),Professur für Methoden der Empirischen Sozialforschung (Mannheim),728487
"Wolf, Christoph",ORCID,Education,Venia Legendi,2003,"Universität zu Köln: Koln, Nordrhein-Westfalen, Germany",Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Studium,n,1976 - 1984, Universität Regensburg,n, Universität Regensburg,3344
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Magister Artium,n,1984, Universität Regensburg,n, Universität Regensburg,3344
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Promotion,n,1988,Universität Regensburg,n, Universität Regensburg,3344
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Projektleitung ,n,1984 - 1997,Universität Regensburg,n, Universität Regensburg,3344
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Wissenschaftliche Assistentin/Oberassistentin,n,1991 - 1997	,Universität Regensburg,Fakultät für Informationswissenschaft, Universität Regensburg,3344
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,"Ruf auf die C4-Professur ""Informationswissenschaft"" ",abgelehnt,2002,Heinrich-Heine-Universität Düsseldorf,n,Heinrich-Heine-Universität Düsseldorf (Düsseldorf),725814
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,Habilitation und Venia Legendi,n,1997,n,n,n,n
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,"C3-Professur für ""Angewandte Informationswissenschaft""",n,1998 - 2002, Universität Hildesheim,n,Stiftung Universität Hildesheim (Hildesheim),1534
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,"C4-Professur für ""Informationswissenschaft"" ",n,seit 2002,Universität Hildesheim,n,Stiftung Universität Hildesheim (Hildesheim),1534
"Womser-Hacker, Christa",https://www.uni-hildesheim.de/fb3/institute/iwist/mitglieder/womser/wissenschaftlicher-werdegang/,"Vertretung der Professur ""Informationsmanagement""",n,1997 - 1998,Universität Konstanz,n,Universität Konstanz,3332